Date;Fitted_values
10/10/2003;152.0774827
13/10/2003;158.6442668
14/10/2003;161.7239169
15/10/2003;159.540065
16/10/2003;158.7824642
17/10/2003;145.1715762
20/10/2003;147.5153317
21/10/2003;147.9063932
22/10/2003;128.4865267
23/10/2003;128.2959919
24/10/2003;123.4324278
27/10/2003;126.0412682
28/10/2003;147.0178861
29/10/2003;148.1199864
30/10/2003;146.3046749
31/10/2003;150.0271454
03/11/2003;158.0468417
04/11/2003;152.9595292
05/11/2003;151.5605344
06/11/2003;161.3428885
07/11/2003;158.5555165
10/11/2003;154.3441207
11/11/2003;151.071776
12/11/2003;158.0653596
13/11/2003;157.2591483
14/11/2003;148.3617876
17/11/2003;138.7827667
18/11/2003;128.3184507
19/11/2003;136.0945533
20/11/2003;129.2707577
21/11/2003;127.794642
24/11/2003;143.2050051
25/11/2003;145.088863
26/11/2003;150.2614384
28/11/2003;146.3669616
01/12/2003;155.8615499
02/12/2003;151.5296672
03/12/2003;148.1574126
04/12/2003;149.3745794
05/12/2003;139.9251312
08/12/2003;147.2323452
09/12/2003;139.0071387
10/12/2003;142.091648
11/12/2003;152.1624793
12/12/2003;155.4434829
15/12/2003;149.7218389
16/12/2003;154.5523195
17/12/2003;156.3892621
18/12/2003;170.0494222
19/12/2003;174.0204784
22/12/2003;179.6266544
23/12/2003;185.5721815
24/12/2003;182.1774197
26/12/2003;178.7561166
29/12/2003;190.5220784
30/12/2003;191.5229771
31/12/2003;192.2007029
02/01/2004;188.5409019
05/01/2004;201.9472672
06/01/2004;206.2174571
07/01/2004;206.7520819
08/01/2004;210.5253183
09/01/2004;199.0734055
12/01/2004;203.5078235
13/01/2004;193.7095573
14/01/2004;199.07089
15/01/2004;198.7151665
16/01/2004;205.0506805
20/01/2004;200.5434316
21/01/2004;207.46121
22/01/2004;204.1889833
23/01/2004;202.083186
26/01/2004;220.3219578
